ID,Xcoord,Ycoord,size,shape,cryosection_text,SampleType,Xcoord_pixel,Ycoord_pixel,Xcoord_pixel_crop,Ycoord_pixel_crop
M300767,13103.6842,20085.08362,5140,Elipse,G121eO301A,Positive,1195.2275945945944,1458.6076294133336,632.0,758.0
M300733,12653.67,19720.44008,4815,Elipse,G121eO301A,Positive,1134.4148648648647,1411.7711924977777,571.0,711.0
M300714,12138.95838,16135.2228,4976,Elipse,G121eO301A,Positive,1064.8592405405407,951.2699507555556,502.0,250.0
M300750,12060.51008,16688.9842,4976,Elipse,G121eO301A,Positive,1054.2581189189189,1022.3975261333333,491.0,321.0
M300766,13128.59698,18741.54252,5140,Elipse,G121eO301A,Positive,1198.5941864864865,1286.0372392355555,636.0,585.0
M300774,12155.62428,16716.4693,4815,Elipse,G121eO301A,Positive,1067.1113891891891,1025.9278345333335,504.0,325.0
M300729,12551.78818,21653.41792,4815,Elipse,G121eO301A,Positive,1120.6470513513511,1660.05145728,558.0,959.0
M300786,11099.17694,18995.86744,4656,Elipse,G121eO301A,Positive,924.348235135135,1318.7038622933335,361.0,618.0
M300737,13457.11914,17998.49878,5647,Elipse,G121eO301A,Positive,1242.989072972973,1190.5973988533335,680.0,490.0
M300797,12879.97508,20904.88182,5140,Elipse,G121eO301A,Positive,1164.9966324324323,1563.9061537688888,602.0,863.0
M300787,10460.97366,19686.93828,4656,Elipse,G121eO301A,Positive,838.1045486486486,1407.4680724088887,275.0,706.0
M300730,12478.73282,21318.48324,4815,Elipse,G121eO301A,Positive,1110.7747054054053,1617.0309583822225,548.0,916.0
M300712,12139.9368,15889.8483,4976,Elipse,G121eO301A,Positive,1064.9914594594593,919.7529594222221,502.0,219.0
M300715,12164.84958,16944.14066,4976,Elipse,G121eO301A,Positive,1068.3580513513512,1055.1709558844445,505.0,354.0
M300717,13434.73288,19286.92338,4976,Elipse,G121eO301A,Positive,1239.9639027027026,1356.088380808889,677.0,655.0
M300704,10676.96738,15665.82062,5140,Elipse,G121eO301A,Positive,867.2928891891892,890.9778485244445,304.0,190.0
M300792,11630.3341,20543.5896,5140,Elipse,G121eO301A,Positive,996.1262297297297,1517.5001752888888,433.0,817.0
M300759,13356.62736,17525.29242,4815,Elipse,G121eO301A,Positive,1229.4091027027027,1129.816670835556,666.0,429.0
M300724,13295.24592,18310.96776,5306,Elipse,G121eO301A,Positive,1221.1143135135135,1230.7323033955556,658.0,530.0
M300776,10481.8709,16446.69692,5306,Elipse,G121eO301A,Positive,840.9285,991.2770710577776,278.0,290.0
M300761,12921.93834,15311.99024,5140,Elipse,G121eO301A,Positive,1170.6673432432433,845.5303019377777,608.0,145.0
M300743,12372.90116,16657.59968,5647,Elipse,G121eO301A,Positive,1096.4731297297296,1018.3663588977777,533.0,317.0
M300747,12029.34836,14662.47546,4976,Elipse,G121eO301A,Positive,1050.0470756756756,762.1037368622221,487.0,61.0
M300745,12007.49698,14299.24046,4976,Elipse,G121eO301A,Positive,1047.0941864864865,715.4482190844445,484.0,14.0
M300755,13715.67514,19528.97232,4815,Elipse,G121eO301A,Positive,1277.9290729729728,1387.1782224355557,715.0,686.0
M300706,11055.41592,15656.03642,5140,Elipse,G121eO301A,Positive,918.4345837837836,889.7211223911112,355.0,189.0
M300731,12362.87926,20562.75016,4815,Elipse,G121eO301A,Positive,1095.1188189189188,1519.9612427733334,532.0,819.0
M300771,12230.63648,14216.24098,4815,Elipse,G121eO301A,Positive,1077.248172972973,704.7873969866667,514.0,4.0
M300716,12650.44174,17948.62884,4976,Elipse,G121eO301A,Positive,1133.9786135135134,1184.1918821155557,571.0,483.0
M300741,12684.36776,17716.75106,5647,Elipse,G121eO301A,Positive,1138.5632108108107,1154.4084694844444,576.0,453.0
M300744,11994.45138,14153.12974,4976,Elipse,G121eO301A,Positive,1045.3312675675675,696.6811088266667,482.0,-4.0
M300783,10505.17912,19231.33282,5306,Elipse,G121eO301A,Positive,844.0782594594596,1348.9480822133332,281.0,648.0
M300705,10812.31548,15756.81368,5140,Elipse,G121eO301A,Positive,885.5831729729729,902.6654015644443,323.0,202.0
M300768,12299.77816,15261.2528,4815,Elipse,G121eO301A,Positive,1086.5916432432432,839.0133596444444,524.0,138.0
