microsample	section	type	batch	cryosection	buffer	Xcoord	Ycoord	size	collection_method	collection	collection_attempts	cycles	animal	protocol	fastp_total_before_filtering.total_reads	fastp_total_after_filtering.total_reads	fastp_total_low_quality_reads	fastp_total_adapter_trimmed_reads	fastp_total_total_polyx_trimmed_reads	fastp_total_polyx_trimmed_reads.A	fastp_total_polyx_trimmed_reads.T	fastp_total_polyx_trimmed_reads.C	fastp_total_polyx_trimmed_reads.G	fastp_total_before_filtering.total_bases	fastp_total_after_filtering.total_bases	fastp_total_adapter_trimmed_bases	fastp_total_total_polyx_trimmed_bases	fastp_total_polyx_trimmed_bases.A	fastp_total_polyx_trimmed_bases.T	fastp_total_polyx_trimmed_bases.C	fastp_total_polyx_trimmed_bases.G	fastp_avg_before_filtering.gc_content	fastp_avg_after_filtering.gc_content	fastp_avg_duplication.rate	raw_sequences_chicken	raw_sequences_human	raw_sequences_pig	reads_mapped_chicken	reads_mapped_human	reads_mapped_pig	reads_unmapped_chicken	reads_unmapped_human	reads_unmapped_pig	raw_sequences_bacteria	reads_mapped_bacteria	reads_unmapped_bacteria	mapbac_counts_unfilt	mapbac_counts_filt	genome_count_filtering30
M300001	Caecum	NegativeCollection	MSEB0001	A001aI120Z	B01	NA	NA	NA	Lid8_Thermo_AB0866	NA	NA	18	NA	BEST_v10	8980418	6963336	720698	2485512	182595	146236	24450	3710	8199	1347062700	999281872	114937609	6815424	6097637	314194	65342	338251	0.47032	0.423829	0.436531	6963336	706986	703888	6183801	2901	222	779535	704085	703666	703530	253363	450167	253363	0	excluded
M300002	Caecum	Positive	MSEB0001	A001aI120A	B02	NA	NA	NA	Lid8_Thermo_AB0866	NA	NA	18	NA	BEST_v10	14558836	12373596	655122	3488038	208368	155787	42201	3300	7080	2183825400	1789291038	149596698	6862508	5993318	532175	54678	282337	0.448213	0.412492	0.555286	12373596	1883552	1882586	10360194	748	288	2013402	1882804	1882298	1882086	673345	1208741	673345	0	excluded
M300003	Caecum	NegativeCollection	MSEB0001	A001aI120Z	B03	NA	NA	NA	Lid8_Thermo_AB0866	NA	NA	19	NA	BEST_v10	12901846	11998988	382512	2691576	146788	106553	33682	2721	3832	1935276900	1736382137	90067001	4508541	3930363	411064	41321	125793	0.434136	0.420169	0.580771	11998988	3766626	3765598	8157649	826	257	3841339	3765800	3765341	3765186	1404723	2360463	1404723	0	excluded
M300004	Caecum	Positive	MSEB0001	A001aI120A	B04	NA	NA	NA	Lid8_Thermo_AB0866	NA	NA	15	NA	BEST_v10	9480700	8562482	500656	2441994	111374	82659	18015	4866	5834	1422105000	1216386868	90096435	3598054	3097612	214018	89629	196795	0.464202	0.452458	0.167839	8562482	5775856	5775454	2598873	262	289	5963609	5775594	5775165	5774902	1865589	3909313	1865589	1095516	retained
M300005	Caecum	NegativeCollection	MSEB0001	A001aI120Z	B09	NA	NA	NA	Lid8_Thermo_AB0866	NA	NA	19	NA	BEST_v10	16030760	15518886	220588	3814247	86508	52596	27184	3507	3221	2404614000	2222953349	121701267	1842386	1418052	305218	48567	70549	0.460772	0.455389	0.590718	15518886	10601416	10600716	4873759	586	161	10645127	10600830	10600555	10600436	4365413	6235023	4365413	1191789	retained
M300006	Caecum	Positive	MSEB0001	A001aI120A	B11	NA	NA	NA	Lid8_Thermo_AB0866	NA	NA	7	NA	BEST_v10	9540676	9176244	103098	3002677	40109	22150	12694	2927	2338	1431101400	1289412583	105887732	790070	569444	145594	38595	36437	0.498022	0.49374	0.105934	9176244	5270834	5270380	3865394	345	130	5310850	5270489	5270250	5270202	2386518	2883684	2386518	1565302	retained
M300007	Caecum	Positive	MSEB0001	A001aI120A	B12	NA	NA	NA	Lid8_Thermo_AB0866	NA	NA	10	NA	BEST_v10	6160042	5027742	76398	5603475	16067	9118	3456	1476	2017	924006300	564751746	267965627	314379	233017	35902	17449	28011	0.550175	0.544956	0.104046	5027742	4647000	4646910	379501	81	70	4648241	4646919	4646840	4646830	2133402	2513428	2133402	1165761	retained
M300008	Caecum	Positive	MSEB0001	A001aI121B	B13	NA	NA	NA	Lid8_Thermo_AB0866	NA	NA	8	NA	BEST_v10	16264504	15391722	127396	5340839	79443	38644	31270	4814	4715	2439675600	2163889654	197612794	1182174	694967	366668	59348	61191	0.468792	0.457018	0.117516	15391722	3691090	3689256	11645588	1453	486	3746134	3689637	3688770	3688616	1533247	2155369	1533247	933856	retained
M300009	Caecum	Positive	MSEB0001	A001aI121B	B01	NA	NA	NA	Lid8_Thermo_AB0866	NA	NA	13	NA	BEST_v10	11621060	10131610	964112	2289652	218810	168499	33981	5108	11222	1743159000	1459549931	79359482	7498904	6531673	443713	86464	437054	0.439858	0.424243	0.127637	10131610	2317068	2315926	7574833	849	391	2556777	2316219	2315535	2315224	819519	1495705	819519	391265	retained
M300010	Caecum	NegativeCollection	MSEB0001	A001aI120Z	B02	NA	NA	NA	Lid8_Thermo_AB0866	NA	NA	22	NA	BEST_v10	20527732	9854254	526346	10134737	191211	141742	39336	1686	8447	3079159800	1435741132	653211925	4465655	3748905	455678	23451	237621	0.575427	0.408382	0.7788	9854254	577164	576004	9210458	905	153	643796	576259	575851	575784	184919	390865	184919	0	excluded
